State,IHE,Program Title,Level of Degree,Format,Alternate Route to Certification,Category of Credentialling,URL for Program
Massachusetts,Worcester State University,Post-Baccalaureate Certificate Program for Initial Teacher License in Moderate Disabilities,Post Bac. Certificate,In Person,No,ECSE,https://www.worcester.edu/programs/post-baccalaureate-certificate-program-for-initial-teacher-licensure-moderate-disabilities/
Massachusetts,Curry College,5th Year Masters of Education MEd (Accelerated dual degree program),Integrated Bachelors/Masters,Hybrid,No,Dual,https://www.curry.edu/academics/undergraduate-degrees-and-programs/education-degrees-and-programs/5th-year-med-dual-education-degree
Massachusetts,Fitchburg State University,BS Special Education Moderate Disabilities (PreK-8) 4+1,Integrated Bachelors/Masters,In Person,No,ECSE,https://www.fitchburgstate.edu/academics/undergraduate/undergraduate-day-programs/special-education/special-education-moderate-disabilities-prek-8-elementary-education-initial-teacher-licensure/
Massachusetts,Fitchburg State University,Special Education Severe Disabilities (All levels) Initial Teacher Licensure,Integrated Bachelors/Masters,In Person,No,ECSE,https://www.fitchburgstate.edu/academics/undergraduate/undergraduate-day-programs/special-education/special-education-severe-disabilities-all-levels-initial-teacher-licensure/
Massachusetts,Framingham State University,"4=1 M.Ed. Concentration Special Education, Teacher of Students with Moderate Disabilities",Integrated Bachelors/Masters,In Person,No,ECSE,https://www.framingham.edu/academics/graduate-studies/graduate-degree-programs/master-of-educ-special-education/med-concentration-special-education
Massachusetts,Massachusetts College of Liberal Arts,BA/MA Education (4+1) Program: Prek-2 Bachelors with add on of Moderate Disabilities Pre-K-8 with Masters degree,Integrated Bachelors/Masters,In Person,No,Dual,hhttps://catalog.mcla.edu/undergraduate/academic-programs-study/education/education---early-childhood-education-bs/   
Massachusetts,Westfield State University,"Education Accelerated Dual Degree Program BS i& Licensure in Elementary Education 1-5, MeD Moderate Disabilities PreK-8",Integrated Bachelors/Masters,In Person,No,Dual,https://www.westfield.ma.edu/academics/continuing-education-massachusetts/education-accelerated-dual-degree-program
Massachusetts,Anna Maria College,CAGS – Concentration in Moderate Disabilities,Graduate Certificate,In Person,No,ECSE,https://annamaria.edu/academics/graduate-studies/graduate-degrees/education-m-ed/#course https://annamaria.edu/wp-content/uploads/2020/12/Moderate-Diabilities-CAGS-Curr.-Map.pdf
Massachusetts,Assumption University,"Certificate of Advanced Graduate Study (C.A.G.S.)
in Special Education: Positive Behavior Supports - Professional Licensure",Graduate Certificate,In Person,No,ECSE,https://www.assumption.edu/sites/default/files/SpecialEducation2019V4.pdf https://www.assumption.edu/graduate/special-education
Massachusetts,Bay Path University,Moderate Disabilities (PreK-8) Professional Licensure Certificate,Graduate Certificate,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/graduate-certificates/moderate-disabilities-prek-8-professional-licensure-certificate/
Massachusetts,Bay Path University,Severe Disabilities (PreK-12) Professional Licensure Certificate,Graduate Certificate,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/graduate-certificates/severe-disabilities-prek-12-professional-licensure-certificate/
Massachusetts,Boston University,Graduate Certificate in Teaching Students with Moderate Disabilities (Pre-K–8),Graduate Certificate,Hybrid,No,ECSE,https://www.bu.edu/academics/wheelock/programs/special-education/graduate-certificate-in-teaching-students-with-moderate-disabilities-pre-k-8/
Massachusetts,Boston University,Graduate Certificate in Teaching Students with Severe Disabilities,Graduate Certificate,Hybrid,No,ECSE,https://www.bu.edu/academics/wheelock/programs/special-education/graduate-certificate-in-teaching-students-with-severe-disabilities/
Massachusetts,Endicott College,"Certificate in Special Education, Moderate Disabilities",Graduate Certificate,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/certificate-programs/certificate-programs-in-education
Massachusetts,Endicott College,"Certificate in Special Education,Severe Disabilities",Graduate Certificate,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/certificate-programs/certificate-programs-in-education
Massachusetts,Lasell University,"TEACHING BILINGUAL LEARNERS
WITH DISABILITIES CERTIFICATE",Graduate Certificate,Online,No,ECSE,https://www.lasell.edu/graduate-studies/academics/teaching-bilingual-learners-with-disabilities-certificate.html
Massachusetts,Regis College,Certificate in Teaching Special Education,Graduate Certificate,In Person,No,ECSE,https://www.regiscollege.edu/academics/majors-and-programs/med-certificate-programs/certificate-teaching-special-education
Massachusetts,Simmons University,Certificate: Severe Special Needs,Graduate Certificate,In Person,No,ECSE,https://simmons.smartcatalogiq.com/en/2021-2022/graduate-course-catalog/programs-of-study/program-in-education/certificate-severe-special-needs/
Massachusetts,Simmons University,Moderate Special Needs Certificate,Graduate Certificate,In Person,No,ECSE,https://simmons.smartcatalogiq.com/2021-2022/graduate-course-catalog/programs-of-study/program-in-education/certificate-moderate-special-needs/
Massachusetts,Springfield College,CAGS Special Education,Graduate Certificate,In Person,No,ECSE,https://springfield.edu/programs/special-education-cags
Massachusetts,University of Massachusetts-Boston,Special Education Post Masters Certificate prek-8,Graduate Certificate,In Person,No,ECSE,https://www.umb.edu/academics/program-finder/special-education-certificate/
Massachusetts,American International College,Master’s Degree (M.Ed.) Early Childhood,Masters,In Person,No,ECSE,https://www.aic.edu/school-of-education/program/early-childhood-education/
Massachusetts,American International College,MEd Moderate Disabilities - Licensure,Masters,In Person,No,ECSE,https://www.aic.edu/school-of-education/program/moderate-disabilities/
Massachusetts,Anna Maria College,Master of Education (M.Ed.)  Moderate Disabilities (Pre-K to 8,Masters,In Person,No,ECSE,https://annamaria.edu/academics/graduate-studies/graduate-degrees/education-m-ed/#course  
Massachusetts,Assumption University,MA Special Education Initial Licensure  for Teacher of Students with Moderate Disabilities (PreK-8 ),Masters,In Person,No,ECSE,https://www.assumption.edu/graduate/special-education https://www.assumption.edu/sites/default/files/SpecialEducation2019V4.pdf
Massachusetts,Assumption University,MA Special Education Professional Licensure,Masters,In Person,No,ECSE,https://www.assumption.edu/graduate/special-education https://www.assumption.edu/sites/default/files/SpecialEducation2019V4.pdf
Massachusetts,Bay Path University,MSEd in Special Education: Moderate Disabilities Initial Licensure,Masters,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/special-education-msed-eds/moderate-disabilities-prek-8-initial-licensure/
Massachusetts,Bay Path University,MSEd in Special Education: Moderate Disabilities Levels PreK-8/Autism Endorsement,Masters,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/master-science-education/special-education-moderate-disabilities-levels-prek8-autism-endorsement-concentration-ms/
Massachusetts,Bay Path University,"MSEd in Special Education: Moderate Disabilities Levels PreK-8/Autism Spectrum Disorders (Initial) Licensure Concentration, M.S.",Masters,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/master-science-education/special-education-moderate-disabilities-levels-prek-8-autism-spectrum-disorders-concentration-ms/
Massachusetts,Bay Path University,MSEd in Special Education: Moderate Disabilities Levels PreK-8/Language and Literacy (Initial) Licensure Concentration,Masters,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/special-education-msed-eds/moderate-disabilities-prek-8-initial-licensure/
Massachusetts,Bay Path University,MSEd in Special Education: Severe Disabilities Initial Licensure,Masters,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/special-education-msed-eds/severe-disabilities-prek-12-initial-licensure/
Massachusetts,Bay Path University,MSEd in Special Education: Severe Disabilities PreK-12 Language & Literacy (Initial) Licensure Concentration,Masters,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/master-science-education/special-education-severe-disabilities-all-levels--anguage-literacy-concentration-ms/
Massachusetts,Bay Path University,MSEd in Special Education: Severe Disabilities PreK-12/Autism Endorsement (Initial) Licensure Concentration,Masters,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/master-science-education/special-education-severe-disabilities-all-levels-autism-endorsement-concentration-ms/
Massachusetts,Bay Path University,MSEd in Special Education: Severe Disabilities PreK-12/Autism Spectrum Disorders,Masters,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/master-science-education/special-education-severe-disabilities-all-levels-autism-spectrum-disorders-concentration-ms/
Massachusetts,Boston College,M.Ed Dual License / Moderate Support Needs PreK - 8 / Early Childhood,Masters,In Person,No,Dual,https://www.bc.edu/bc-web/schools/lynch-school/academics/departments/tcs/special-education-licensure-offerings.html#tab-m_ed_early_childhood_moderate_support_needs
Massachusetts,Boston College,M.Ed. Dual License /Moderate and Extensive Support Needs / PreK-8 NO Prior license,Masters,In Person,No,ECSE,https://www.bc.edu/content/dam/bc1/schools/lsoe/academics/pos/tcs/2022-2023/Dual%20Moderate%20and%20Extensive%20Support%20Needs%20PreK-8%20or%205-12.pdf
Massachusetts,Boston College,M.Ed. Dual License /Moderate and Extensive Support Needs / PreK-8 Prior license,Masters,In Person,No,ECSE,https://www.bc.edu/content/dam/bc1/schools/lsoe/academics/pos/tcs/2022-2023/Dual%20Moderate%20and%20Extensive%20Support%20Needs%20PreK-8%20or%205-12.pdf
Massachusetts,Boston College,M.Ed./CAES in Special Education for Extensive Support Needs: no prior license,Masters,In Person,No,ECSE,https://www.bc.edu/content/bc-web/academics/sites/university-catalog/graduate/lynch.html#tab-department_of_teaching_curriculum_and_society
Massachusetts,Boston College,M.Ed./CAES in Special Education for Extensive Support Needs: prior license,Masters,In Person,No,ECSE,https://www.bc.edu/content/bc-web/academics/sites/university-catalog/graduate/lynch.html#tab-department_of_teaching_curriculum_and_society
Massachusetts,Boston College,M.Ed./CAES in Special Education for Moderate Support Needs - no prior l gen license,Masters,In Person,No,ECSE,https://www.bc.edu/content/bc-web/academics/sites/university-catalog/graduate/lynch.html#tab-department_of_teaching_curriculum_and_society
Massachusetts,Boston College,M.Ed./CAES in Special Education for Moderate Support Needs - prior gen en license,Masters,In Person,No,ECSE,https://www.bc.edu/content/bc-web/academics/sites/university-catalog/graduate/lynch.html#tab-department_of_teaching_curriculum_and_society
Massachusetts,Boston University,EdM in Curriculum & Teaching with Graduate Certificate in Specialization Areas - Special Education Prek-8 Moderate Disabilities,Masters,Hybrid,No,ECSE,https://www.bu.edu/academics/wheelock/programs/curriculum-teaching/edm/
Massachusetts,Boston University,EdM in Curriculum & Teaching with Graduate Certificate in Specialization Areas - Special Education Severe Disabilities,Masters,Hybrid,No,ECSE,https://www.bu.edu/academics/wheelock/programs/curriculum-teaching/edm/
Massachusetts,Boston University,EdM in Deaf Education - Initial License,Masters,Hybrid,No,ECSE,https://www.bu.edu/wheelock/academics/graduate/edm/master-education-education-deaf/
Massachusetts,Boston University,EdM in Special Education Teacher of Students with Moderate Disabilities (Pre-K–Grade 8),Masters,Hybrid,No,ECSE,https://www.bu.edu/academics/wheelock/programs/special-education/edm/
Massachusetts,Boston University,EdM in Special Education Teacher of Students with Severe Disabilities (Ages 3–21),Masters,Hybrid,No,ECSE,https://www.bu.edu/academics/wheelock/programs/special-education/edm/
Massachusetts,Boston University,Master of Social Work (MSW) and Master of Education (EdM) Moderate Disabilities prek-8,Masters,Hybrid,No,ECSE,https://www.bu.edu/academics/ssw/programs/dual-degree-programs-in-social-work-and-education/
Massachusetts,Bridgewater State University,"MEd Special Education, Teacher of Students with Moderate Disabilities (PreK-8), (Initial Licensure),",Masters,Hybrid,No,ECSE,https://www.bridgew.edu/department/special-education/academic-programs
Massachusetts,Bridgewater State University,"Special Education Teacher of Students with Moderate Disabilities (PreK-8 or 5-12) (Partial Fulfillment of Professional Licensure), MEd",Masters,In Person,No,ECSE,https://www.bridgew.edu/department/special-education/academic-programs
Massachusetts,Bridgewater State University,"Special Education, Teacher of Students with Severe Disabilities (All Levels) (Initial Licensure), MEd",Masters,In Person,No,ECSE,https://www.bridgew.edu/department/special-education/academic-programs
Massachusetts,Bridgewater State University,"Special Education, Teacher of Students with Severe Disabilities (All Levels) (Partial Fulfillment of Professional Licensure), MEd",Masters,In Person,No,ECSE,https://www.bridgew.edu/department/special-education/academic-programs
Massachusetts,Cambridge College,"Master of Education
Teacher of Students with
Moderate Disabilities (PreK-8 or 5-12)",Masters,Hybrid,No,ECSE,https://boston.cambridgecollege.edu/degree/teacher-students-moderate-disabilities
Massachusetts,Cambridge College,Master of Education Teacher of Students with Moderate Disabilities (PreK-8) & Applied Behavior Analysis,Masters,Hybrid,No,ECSE,https://boston.cambridgecollege.edu/degree/teacher-students-moderate-disabilities-prek-8-initial-licensure-applied-behavior-analysis 
Massachusetts,Cambridge College,"Master of Education Teacher of Students with Moderate Disabilities (PreK-8, initial licensure) & Applied Behavior Analysis",Masters,Hybrid,No,ECSE,https://boston.cambridgecollege.edu/degree/teacher-students-moderate-disabilities-prek-8-initial-licensure-applied-behavior-analysis 
Massachusetts,College of Our Lady of the Elms,Master of Arts in Teaching (M.A.T.) Moderate Disabilities (PreK-8) or (5-12),Masters,In Person,No,ECSE,https://www.elms.edu/graduate-studies/education/master-of-arts-in-teaching/
Massachusetts,Curry College,ME.D Special Education - Moderate Disabilities  (Initial License: Teacher of Students with Moderate Disabilities: Pre-K-8),Masters,Hybrid,No,ECSE,https://www.curry.edu/academics/continuing-education-and-graduate-programs/graduate-degrees/master-of-education/med-special-education
Massachusetts,Eastern Nazarene College,MEd Moderate Disabilities Pre-K-8 Initial Licensure,Masters,In Person,No,ECSE,https://enc.edu/program/master-of-education/
Massachusetts,Endicott College,M.Ed. in Special Education: Deaf & Hard of Hearing (48 Credits),Masters,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/masters-programs/educator-preparation-program/special-education-deaf-and-hard-of-hearing
Massachusetts,Endicott College,M.Ed. in Special Education: Moderate Disabilities (initial license),Masters,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/masters-programs/educator-preparation-program/special-education-moderate-disabilities-program
Massachusetts,Endicott College,M.Ed. in Special Education: Severe Disabilities (initial licensure),Masters,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/masters-programs/educator-preparation-program/special-education-severe-disabilities-program
Massachusetts,Endicott College,M.Ed. in Special Education: Severe Disabilities. (professional license),Masters,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/masters-programs/educator-preparation-program/special-education-severe-disabilities-program
Massachusetts,Endicott College,"Special Education and Applied Behavior Analysis, Moderate Disabilities with MA  Professional Licensure (Master of Education)",Masters,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/masters-programs/applied-behavior-analysis/special-education-and-aba-moderate-program
Massachusetts,Endicott College,"Special Education and Applied Behavior Analysis, Moderate Disabilities with MA Initial Licensure (Master of Education)",Masters,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/masters-programs/applied-behavior-analysis/special-education-and-aba-moderate-program
Massachusetts,Endicott College,"Special Education and Applied Behavior Analysis, Severe Disabilities with MA Licensure (Master of Education)",Masters,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/masters-programs/applied-behavior-analysis/special-education-and-aba-severe-program
Massachusetts,Endicott College,"Special Education and Applied Behavior Analysis, Severe Disabilities with MA Licensure (Master of Education)Initial",Masters,Hybrid,No,ECSE,https://www.endicott.edu/academics/schools/school-of-education/graduate-programs/masters-programs/applied-behavior-analysis/special-education-and-aba-severe-program
Massachusetts,Fitchburg State University,M.Ed. in Special Education: Moderate Disabilities (Initial Licensure),Masters,Online,No,ECSE,https://www.fitchburgstate.edu/academics/programs/special-education-med-teacher-students-moderate-disabilities-initial-licensure-pre-k-8-or-5-12
Massachusetts,Fitchburg State University,M.Ed. in Special Education: Severe Disabilities (Initial Licensure),Masters,Online,No,ECSE,https://www.fitchburgstate.edu/academics/graduate-studies/graduate-programs/special-education-med-severe-disabilities/
Massachusetts,Framingham State University,"M.Ed. Concentration Special Education, Teacher of Students with Moderate Disabilities",Masters,In Person,No,ECSE,https://www.framingham.edu/academics/graduate-studies/graduate-degree-programs/master-of-educ-special-education/med-concentration-special-education
Massachusetts,Gordon College,"Initial License and Master of Education Moderate Disabilities (PreK-8, 5-12)",Masters,In Person,No,ECSE,https://catalog.gordon.edu/content.php?catoid=34&navoid=1258#More%20Information%20about%20Initial%20Licensure%20Programs
Massachusetts,Gordon College,"Professional or Additional Licensure and Master of Education Moderate Disabilities (PreK-8, 5-12)",Masters,In Person,No,ECSE,https://catalog.gordon.edu/preview_program.php?catoid=24&poid=1984
Massachusetts,Lasell University,"MASTER OF EDUCATION - SPECIAL
EDUCATION: MODERATE DISABILITIES",Masters,Hybrid,No,ECSE,https://www.lasell.edu/graduate-studies/academics/med---special-ed/-moderate-disabilities.html
Massachusetts,Lesley University,"M,Ed Inclusive Special Education: Moderate Disabilities (5-12) and Severe Disabilities (All Levels)",Masters,Hybrid,No,ECSE,https://lesley.edu/academics/graduate/teacher-of-students-with-moderate-5-12-severe-disabilities-all-levels-initial
Massachusetts,Lesley University,M.Ed Inclusive Special Education:  Severe Disabilities (All Levels),Masters,Hybrid,No,ECSE,https://lesley.edu/academics/graduate/teacher-of-students-with-severe-disabilities-all-levels-initial-license-masters
Massachusetts,Lesley University,M.Ed Inclusive Special Education: Moderate Disabilities (PreK–8) and Severe Disabilities (All Levels),Masters,Hybrid,No,ECSE,https://lesley.edu/academics/graduate/teacher-of-students-with-moderate-prek-8-severe-disabilities-all-levels-initial
Massachusetts,Lesley University,M.Ed Inclusive Special Education: Moderate Disabilities PreK-8 & 5-12 Dual Initial Licensure Program,Masters,Hybrid,No,ECSE,https://lesley.edu/academics/graduate/inclusive-special-education-moderate-disabilities-prek-8-5-12-masters
Massachusetts,Lesley University,Master of Education: Special Ed / Moderate Disabilities,Masters,Hybrid,No,ECSE,https://www.lasell.edu/academics/graduate-and-professional-studies/programs-of-study/master-of-education/med-special-education-moderate-disabilities.html#tab2
Massachusetts,Lesley University,MEd Inclusive Special Education:  Moderate Disabilities (PreK-8),Masters,Hybrid,No,ECSE,https://lesley.edu/academics/graduate/teacher-of-students-with-moderate-disabilities-prek-8-initial-teacher-license-masters
Massachusetts,Massachusetts College of Liberal Arts,"Teacher of student with moderate disabilities;
first initial license PreK-8 with MED",Masters,In Person,No,ECSE,https://www.mcla.edu/_pdfs/academics/graduate/med-pdfs/MEd-FEB2022.pdf
Massachusetts,Merrimack College,Moderate Disabilities M.Ed (pre-k to 8),Masters,Online,No,ECSE,https://online.merrimack.edu/m-ed-in-moderate-disabilities/
Massachusetts,Mount Holyoke College,Master of Arts in Teaching Teacher of Students with Moderate Disabilities (PreK-8; 5-12),Masters,In Person,No,ECSE,http://catalog.mtholyoke.edu/PaGE/programs/MAT/#requirementstext
Massachusetts,Northeastern University,Master of Education+ in Special Education,Masters,Hybrid,No,ECSE,https://cps.northeastern.edu/program/master-of-education-in-special-education-boston/
Massachusetts,Regis College,Master of Education in Teaching Special Education,Masters,Hybrid,No,ECSE,https://www.regiscollege.edu/academics/majors-and-programs/teaching-special-education-med
Massachusetts,Salem State University,"Early Childhood Education, Advanced Studies, Master of Education",Masters,Hybrid,No,ECSE,https://www.salemstate.edu/academics/mckeown-school-education/teacher-professional-development/master-education-early-childhood-education-advanced-studies
Massachusetts,Salem State University,Advanced Studies in Special Education- Autism Spectrum Disorders,Masters,In Person,No,ECSE,https://catalog.salemstate.edu/preview_program.php?catoid=32&poid=3607
Massachusetts,Salem State University,Advanced Studies in Special Education- Emergent Literacy Cluster,Masters,In Person,No,ECSE,https://catalog.salemstate.edu/preview_program.php?catoid=32&poid=3607
Massachusetts,Salem State University,Advanced Studies in Special Education- Special Education Cluster,Masters,In Person,No,ECSE,https://catalog.salemstate.edu/preview_program.php?catoid=32&poid=3607
Massachusetts,Salem State University,"MEd Special Education - Initial License,",Masters,In Person,No,ECSE,https://www.salemstate.edu/academics/mckeown-school-education/graduate-teacher-preparation/apply-graduate-programs-special-education
Massachusetts,Simmons University,Master of Science in Education: Autism Specialization with Severe Disabilities Licensure,Masters,In Person,No,ECSE,https://simmons.smartcatalogiq.com/en/2021-2022/graduate-course-catalog/programs-of-study/program-in-education/master-of-science-in-education-autism-specialization-with-severe-disabilities-licensure/
Massachusetts,Simmons University,MSEd program in Special Education Moderate Disabilities (PreK-8),Masters,In Person,No,ECSE,https://www.simmons.edu/graduate/academic-programs/graduate-and-certificate-programs/special-education-moderate-or-severe
Massachusetts,Simmons University,MSEd program in Special Education: Severe Disabilities (All Levels),Masters,In Person,No,ECSE,https://www.simmons.edu/graduate/academic-programs/graduate-and-certificate-programs/special-education-moderate-or-severe
Massachusetts,Springfield College,Early Childhood Education (Master's Degree) *TOSD Licensure track,Masters,In Person,No,Dual,https://springfield.edu/programs/graduate/early-childhood-education-masters-degree
Massachusetts,Springfield College,Special Education with a Concentration in Teachers of Students with Moderate Disabilities (TSMD) License,Masters,In Person,No,ECSE,http://catalog.springfield.edu/preview_program.php?catoid=2&poid=90
Massachusetts,Stonehill College,Inclusive Education Licensure Program: Teacher of Students with Moderate Disabilities (PK-8),Masters,In Person,No,ECSE,https://www.stonehill.edu/programs/inclusive-education-masters/
Massachusetts,University of Massachusetts-Boston,MEd Special Education Successive Licensure Moderate Disabilities PreK-8,Masters,Hybrid,No,ECSE,https://www.umb.edu/academics/program-finder/special-education-med/
Massachusetts,Westfield State University,"Moderate Disabilities Masters Degree (M.Ed.), PreK-8, Initial",Masters,In Person,No,ECSE,https://www.westfield.ma.edu/academics/degrees/moderate-disabilities-masters-degree-med-prek-8-initial
Massachusetts,Bay Path University,EdS in Special Education: Moderate Disabilities Initial Licensure,Ed.S.,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/special-education-msed-eds/moderate-disabilities-prek-8-initial-licensure/
Massachusetts,Bay Path University,EdS in Special Education: Moderate Disabilities Levels PreK-8/Autism Endorsement (Initial) Licensure Concentration,Ed.S.,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/special-education-specialist/moderate-disabilities-levels-prek-8autism-endorsement-concentration-eds/#degreerequirementstext
Massachusetts,Bay Path University,"EdS in Special Education: Moderate Disabilities Levels PreK-8/Autism Spectrum Disorders (Initial) Licensure Concentration, EdS",Ed.S.,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/special-education-specialist/moderate-disabilities-levels-prek-8autism-spectrum-disorders-concentration-eds/
Massachusetts,Bay Path University,EdS in Special Education: Moderate Disabilities Levels PreK-8/Language and Literacy,Ed.S.,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/special-education-specialist/moderate-disabilities-levels-prek-8language-literacy-concentration-eds/
Massachusetts,Bay Path University,EdS in Special Education: Severe Disabilities Initial Licensure,Ed.S.,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/special-education-msed-eds/severe-disabilities-prek-12-initial-licensure/
Massachusetts,Bay Path University,"EdS in Special Education: Severe Disabilities PreK-12/ Autism Endorsement (Initial) Licensure Concentration,",Ed.S.,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/special-education-specialist/severe-disabilities-all-levels-autism-endorsement-concentration-eds/#text
Massachusetts,Bay Path University,"EdS in Special Education: Severe Disabilities PreK-12/Autism Spectrum Disorders (Initial) Licensure Concentration, EdS",Ed.S.,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/special-education-specialist/severe-disabilities-all-levels-autism-spectrum-disorders-concentration-eds/
Massachusetts,Bay Path University,EdS in Special Education: Severe Disabilities PreK-12/Language and Literacy,Ed.S.,Online,No,ECSE,https://catalog.baypath.edu/graduate/academic-programs/special-education-specialist/severe-disabilities-all-levels-language-literacy-concentration-eds/
Massachusetts,Bay Path University,EdS Moderate Disabilities Levels PreK-8/Professional Licensure Concentration,Ed.S.,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/special-education-msed-eds/moderate-disabilities-prek-8-professional-licensure/
Massachusetts,Bay Path University,EdS Severe Disabilities All Levels / Professional Licensure Concentration,Ed.S.,Online,No,ECSE,https://www.baypath.edu/academics/graduate-programs/special-education-msed-eds/severe-disabilities-prek-12-professional-licensure/
Massachusetts,Lesley University,Licensure Only: Inclusive Special Education Initial License in Teacher of Students with Moderate Disabilities (PreK-8),State Certification or Credential Only,Hybrid,No,ECSE,https://lesley.edu/academics/graduate/teacher-of-students-with-moderate-disabilities-prek-8-initial-teacher-license-masters
Massachusetts,Lesley University,Licensure Only: Inclusive Special Education Initial License in Teacher of Students with Severe Disabilities,State Certification or Credential Only,Hybrid,No,ECSE,https://lesley.edu/academics/graduate/teacher-of-students-with-severe-disabilities-all-levels-initial-license-masters
Massachusetts,Merrimack College,Add-On License in Moderate Disabilities,State Certification or Credential Only,Online,No,ECSE,https://online.merrimack.edu/add-on-license-in-moderate-disabilities/
Massachusetts,Mount Holyoke College,"Special Education/Moderate Disabilities Additional License  (PreK-8, 5-12)",State Certification or Credential Only,In Person,No,ECSE,http://catalog.mtholyoke.edu/PaGE/programs/add-on-licensure/#specialeducationtext
Massachusetts,Salem State University,Special Education- Initial License,State Certification or Credential Only,In Person,No,ECSE,https://www.salemstate.edu/academics/mckeown-school-education/graduate-teacher-preparation/apply-graduate-programs-special-education
Michigan,Adrian College,"Bachelor of Education - Elementary Education, Early Childhood Education Minor (ZS Endorsement Add-on)",Bachelors,In Person,No,Dual,"https://www.adrian.edu/academics/undergraduate-programs/elementary-education

https://adrian.imgix.net/files/resources/2022-2023adriancollegeundergraduatecatalogfinal10.3.2022.pdf"
Michigan,Calvin University,"Early Childhood Pk-General And Special Education (ZS) (Endorsement, Major)",Bachelors,In Person,No,Blended,"https://calvin.edu/academics/departments-programs/education/academics/early-childhood-education-major#offcanvas-reveal
https://mdoe.state.mi.us/proprep/#!/providerdetails/6"
Michigan,Central Michigan University,"Teaching Early Childhood, B-3 & Early Childhood Special Education Major, B.S.Ed., Standard Certification (B-6)",Bachelors,Hybrid,No,Dual,https://cmich.smartcatalogiq.com/2022-2023/Undergraduate-Bulletin/Colleges-and-Departments/College-of-Education-and-Human-Services/Human-Development-and-Family-Studies-Department-of/Human-Development-and-Family-Studies/Teaching-Early-Childhood-B-3-and-Early-Childhood-Special-Education-Major-BSEd-Standard-Certification-ECE
Michigan,Central Michigan University,"Teaching Early Childhood, B-K & Early Childhood Special Education Major, B.S.Ed., Standard Certificate (B-6)",Bachelors,Hybrid,No,Blended,https://cmich.smartcatalogiq.com/2022-2023/Undergraduate-Bulletin/Colleges-and-Departments/College-of-Education-and-Human-Services/Human-Development-and-Family-Studies-Department-of/Human-Development-and-Family-Studies/Teaching-Early-Childhood-B-K-and-Early-Childhood-Special-Education-Major
Michigan,Concordia University-Ann Arbor,Early Childhood Regular and Special Education Dual Certification Program (M),Bachelors,In Person,No,Dual,https://catalog.cuw.edu/undergraduate/cuwcampus/education/majors/early-childhood-regular-special-education-dual-certification/#text
Michigan,Cornerstone University,Bachelor of Arts in Early Childhood Education - General and Special Education Endorsement (ZS),Bachelors,In Person,No,Dual,https://www.cornerstone.edu/programs/early-childhood-education/
Michigan,Eastern Michigan University,Elementary Education Early Childhood Comprehensive BS Birth-Kindergarten (ZN endorsement),Bachelors,In Person,No,Dual,https://www.emich.edu/coe/programs/resources/early-childhood-education.php
Michigan,Ferris State University,Early Childhood Major - ZN Endorsement - Birth to Kindergarten Concentration,Bachelors,In Person,No,Blended,https://www.ferris.edu/catalog/current/programs/eced3-bs.htm
Michigan,Grand Valley State University,"Education for Younger Children, Birth to Kindergarten, General and Special Education, B.A., B.S.",Bachelors,Hybrid,No,Blended,https://www.gvsu.edu/acad/education-for-younger-children-birth-to-kindergarten-general-and-special-education-ba-bs.htm
Michigan,Madonna University,Comprehensive Elementary and Early Childhood BS - ECE B-K Concentration Choice - ZS Endorsement,Bachelors,In Person,No,Dual,"https://www.madonna.edu/academics/programs/early-childhood-education/
https://www.madonna.edu/plan-of-study.php?major=ECE"
